title,year,imdbid,id,bechdelRating,imdbAverageRating,numVotes,runtimeMinutes,genre1,genre2,genre3,passed
To All the Boys: P.S. I Still Love You,2020,9354842,9972,3,6.1,46758,101.0,Comedy,Drama,Romance,1
Tout simplement noir,2020,10426916,9201,1,6.4,2373,90.0,Comedy,,,0
Tove,2020,11007444,10324,3,6.8,3819,103.0,Biography,Drama,,1
Train to Busan Presents: Peninsula,2020,8850222,9461,3,5.5,38026,116.0,Action,Horror,Thriller,1
"Trial of the Chicago 7, The",2020,1070874,9313,1,7.7,193909,129.0,Drama,History,Thriller,0
Trolls World Tour,2020,6587640,9087,3,6.1,29087,91.0,Adventure,Animation,Comedy,1
"Turning, The",2020,7510346,9003,3,3.9,16192,94.0,Drama,Horror,Mystery,1
Underwater,2020,5774060,9233,3,5.9,97930,95.0,Action,Horror,Sci-Fi,1
Unhinged,2020,10059518,9921,3,6.0,77101,90.0,Action,Thriller,,1
Unpregnant,2020,10556022,9456,3,6.5,9876,103.0,Comedy,Drama,,1
We Can Be Heroes,2020,10600398,10293,3,4.7,17220,100.0,Action,Comedy,Drama,1
"Witches, The",2020,805647,9347,2,5.4,46758,106.0,Adventure,Comedy,Family,0
Wolfwalkers,2020,5198068,9367,3,8.0,38865,103.0,Action,Adventure,Animation,1
"Woman Who Ran, The",2020,11697690,10212,3,6.7,3619,77.0,Drama,,,1
Wonder Woman 1984,2020,7126948,9405,3,5.4,292485,151.0,Action,Adventure,Fantasy,1
Woodland,2020,4569374,10910,1,5.1,1031,87.0,Thriller,,,0
Work It,2020,10276470,9234,3,6.1,15703,93.0,Comedy,Music,,1
Zola,2020,5439812,10927,3,6.5,17902,86.0,Comedy,Crime,Drama,1
Zombies 2,2020,9766166,9039,3,5.7,3777,84.0,Comedy,Family,Fantasy,1
"last days of american crime, The",2020,1552211,9165,0,3.8,12472,148.0,Action,Crime,Drama,0
one night in san diego,2020,9765226,10038,2,3.5,575,85.0,Comedy,,,0
"world to come, The",2020,9738716,10127,3,6.4,11132,105.0,Drama,History,Western,1
13 Minutes,2021,9274670,10196,3,4.7,5252,108.0,Action,Drama,Thriller,1
7 Women and a Murder,2021,15206378,10688,3,5.4,6344,82.0,Comedy,Crime,Mystery,1
A Classic Horror Story,2021,12877640,10177,3,5.7,22015,95.0,Drama,Horror,Mystery,1
After We Fell,2021,13069986,10233,1,4.8,20393,98.0,Drama,Romance,,0
After Yang,2021,8633464,10800,1,6.6,23135,96.0,Drama,Sci-Fi,,0
Afterlife of the Party,2021,11742798,10046,3,5.8,10681,109.0,Comedy,Drama,Fantasy,1
Ajeeb Daastaans,2021,14091818,9667,3,6.7,6391,142.0,Drama,Romance,,1
America: The Motion Picture,2021,6733874,9924,3,5.6,7431,98.0,Action,Adventure,Animation,1
Army of Thieves,2021,13024674,10440,3,6.4,89251,127.0,Action,Comedy,Crime,1
Army of the Dead,2021,993840,10113,3,5.8,189057,148.0,Action,Crime,Drama,1
Back to the Outback,2021,13575806,10385,3,6.5,10559,95.0,Adventure,Animation,Comedy,1
Barb and Star Go to Vista Del Mar,2021,3797512,9713,3,6.3,20108,107.0,Comedy,Fantasy,,1
"Batman: The Long Halloween, Part One",2021,14324650,10373,3,7.2,20072,85.0,Action,Animation,Crime,1
"Batman: The Long Halloween, Part Two",2021,14402926,10377,1,7.2,16877,87.0,Action,Animation,Crime,0
Being The Ricardos,2021,4995540,10199,3,6.5,44774,131.0,Biography,Drama,,1
Belfast,2021,12789558,10213,1,7.2,92990,98.0,Biography,Drama,Romance,0
Belle,2021,13651628,10473,3,7.1,17283,121.0,Adventure,Animation,Drama,1
Bem Bom,2021,11621960,10566,3,6.5,760,111.0,Drama,Music,Romance,1
Benedetta,2021,6823148,10367,3,6.7,25653,131.0,Biography,Drama,Romance,1
Black Box,2021,10341034,10431,1,7.2,15180,129.0,Drama,Mystery,Thriller,0
Black Widow,2021,3480822,9953,3,6.7,428052,134.0,Action,Adventure,Sci-Fi,1
Boiling Point,2021,11127680,10200,3,7.5,42670,92.0,Drama,Thriller,,1
Borga,2021,5492808,10120,3,6.1,256,104.0,Drama,,,1
Bull,2021,13266998,10454,1,6.5,8416,88.0,Crime,Horror,Thriller,0
CODA,2021,10366460,10076,3,8.0,165845,111.0,Comedy,Drama,Music,1
